kodefikasi;komponendata;satuan;sumberdata;2023;2024;2025;2026
36201;Ekonomi;;;;;;
3620121801;Jumlah Perusahaan Industri Sedang;;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;;;;
3,62012E+11;Kabupaten Pandeglang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;40;0;0;0
3,62012E+11;Kabupaten Lebak;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;49;0;0;0
3,62012E+11;Kabupaten Tangerang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;396;0;0;0
3,62012E+11;Kabupaten Serang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;73;0;0;0
3,62012E+11;Kota Tangerang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;192;0;0;0
3,62012E+11;Kota Cilegon;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;41;0;0;0
3,62012E+11;Kota Serang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;49;0;0;0
3,62012E+11;Kota Tangerang Selatan;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;198;0;0;0
3,62012E+11;Provinsi Banten;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1038;0;0;0
3620121802;Jumlah Perusahaan Industri Besar;;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;;;;
3,62012E+11;Kabupaten Pandeglang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;77;0;0;0
3,62012E+11;Kabupaten Lebak;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;113;0;0;0
3,62012E+11;Kabupaten Tangerang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;2410;0;0;0
3,62012E+11;Kabupaten Serang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;484;0;0;0
3,62012E+11;Kota Tangerang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1098;0;0;0
3,62012E+11;Kota Cilegon;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;256;0;0;0
3,62012E+11;Kota Serang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;153;0;0;0
3,62012E+11;Kota Tangerang Selatan;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;938;0;0;0
3,62012E+11;Provinsi Banten;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;5529;0;0;0
362015101;Laju Pertumbuhan Ekonomi (LPE);;Badan Perencanaan Pembangunan Daerah;;;;
36201510101;Kabupaten Pandeglang;%;Badan Perencanaan Pembangunan Daerah;2,53;7,91;0;0
36201510102;Kabupaten Lebak;%;Badan Perencanaan Pembangunan Daerah;2,80;5,53;0;0
36201510103;Kabupaten Tangerang;%;Badan Perencanaan Pembangunan Daerah;5,18;4,45;0;0
36201510104;Kabupaten Serang;%;Badan Perencanaan Pembangunan Daerah;4,80;5.08;0;0
36201510171;Kota Tangerang;%;Badan Perencanaan Pembangunan Daerah;5,57;5,08;0;0
36201510172;Kota Cilegon;%;Badan Perencanaan Pembangunan Daerah;4,82;4,03;0;0
36201510173;Kota Serang;%;Badan Perencanaan Pembangunan Daerah;4,74;5,19;0;0
36201510174;Kota Tangerang Selatan;%;Badan Perencanaan Pembangunan Daerah;5,36;5,65;0;0
36201510136;Provinsi Banten;%;Badan Perencanaan Pembangunan Daerah;4,81;4,93;0;0
362015102;Produk Domestik Regional Bruto (PDRB) per Kapita Harga Berlaku;;Badan Perencanaan Pembangunan Daerah;;;;
36201510201;Kabupaten Pandeglang;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;25,91;0;0;0
36201510202;Kabupaten Lebak;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;24,81;0;0;0
36201510203;Kabupaten Tangerang;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;51,54;0;0;0
36201510204;Kabupaten Serang;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;56,52;0;0;0
36201510271;Kota Tangerang;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;105,915**;0;0;0
36201510272;Kota Cilegon;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;287.525,89**;0;0;0
36201510273;Kota Serang;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah; 55.050,78 ;0;0;0
36201510274;Kota Tangerang Selatan;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah; 104.387,69 ;0;0;0
36201510236;Provinsi Banten;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;66,15**;0;0;0
362015103;Produk Domestik Regional Bruto Atas Dasar Harga Konstan Menurut Lapangan Usaha (Milyar Rupiah);;Badan Perencanaan Pembangunan Daerah;;;;
36201510301;Pertanian, Kehutanan, dan Perikanan;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 46.608,45 ;0;0;0
36201510302;Pertambangan dan Penggalian;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 3.504,21 ;0;0;0
36201510303;Industri Pengolahan;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 246.265,69 ;0;0;0
36201510304;Pengadaan Listrik dan Gas;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 12.785,13 ;0;0;0
36201510305;Pengadaan Air;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 652,28 ;0;0;0
36201510306;Konstruksi;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 95.666,94 ;0;0;0
36201510307;Perdagangan Besar dan Eceran, dan Reparasi Mobil dan Sepeda Motor;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 101.006,64 ;0;0;0
36201510308;Transportasi dan Pergudangan;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 90.542,70 ;0;0;0
36201510309;Penyediaan Akomodasi dan Makan Minum;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 19.150,09 ;0;0;0
36201510310;Informasi dan Komunikasi;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 30.601,82 ;0;0;0
36201510311;Jasa Keuangan;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 25.724,53 ;0;0;0
36201510312;Real Estate;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 64.183,34 ;0;0;0
36201510313;Jasa Perusahaan;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 8.820,02 ;0;0;0
36201510314;Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 16.117,88 ;0;0;0
36201510315;Jasa Pendidikan;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 26.680,99 ;0;0;0
36201510316;Jasa Kesehatan danKegiatan Sosial;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 11.841,83 ;0;0;0
36201510317;Jasa lainnya;Milyar Rupiah;Badan Perencanaan Pembangunan Daerah; 13.971,78 ;0;0;0
362015104;Laju Pertumbuhan PDRB Atas Dasar Harga Konstan 2010 Menurut Lapangan Usaha (Persen);;Badan Perencanaan Pembangunan Daerah;;;;
36201510401;Pertanian, Kehutanan, dan Perikanan;%;Badan Perencanaan Pembangunan Daerah;0,14;0;0;0
36201510402;Pertambangan dan Penggalian;%;Badan Perencanaan Pembangunan Daerah;-16,48;0;0;0
36201510403;Industri Pengolahan;%;Badan Perencanaan Pembangunan Daerah;5,82;0;0;0
36201510404;Pengadaan Listrik dan Gas;%;Badan Perencanaan Pembangunan Daerah;-1,49;0;0;0
36201510405;Pengadaan Air;%;Badan Perencanaan Pembangunan Daerah;5,35;0;0;0
36201510406;Konstruksi;%;Badan Perencanaan Pembangunan Daerah;1,45;0;0;0
36201510407;Perdagangan Besar dan Eceran, dan Reparasi Mobil dan Sepeda Motor;%;Badan Perencanaan Pembangunan Daerah;3,98;0;0;0
36201510408;Transportasi dan Pergudangan;%;Badan Perencanaan Pembangunan Daerah;12,44;0;0;0
36201510409;Penyediaan Akomodasi dan Makan Minum;%;Badan Perencanaan Pembangunan Daerah;8,43;0;0;0
36201510410;Informasi dan Komunikasi;%;Badan Perencanaan Pembangunan Daerah;7,75;0;0;0
36201510411;Jasa Keuangan;%;Badan Perencanaan Pembangunan Daerah;-0,69;0;0;0
36201510412;Real Estate;%;Badan Perencanaan Pembangunan Daerah;3,51;0;0;0
36201510413;Jasa Perusahaan;%;Badan Perencanaan Pembangunan Daerah;7,29;0;0;0
36201510414;Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;%;Badan Perencanaan Pembangunan Daerah;1,93;0;0;0
36201510415;Jasa Pendidikan;%;Badan Perencanaan Pembangunan Daerah;5,78;0;0;0
36201510416;Jasa Kesehatan danKegiatan Sosial;%;Badan Perencanaan Pembangunan Daerah;7,26;0;0;0
36201510417;Jasa lainnya;%;Badan Perencanaan Pembangunan Daerah;9,38;0;0;0
362015105;Persentase PDRB atas Dasar Harga Berlaku Menurut Lapangan Usaha;;Badan Perencanaan Pembangunan Daerah;;;;
36201510501;Pertanian, Kehutanan, dan Perikanan;%;Badan Perencanaan Pembangunan Daerah; 5,72 ;0;0;0
36201510502;Pertambangan dan Penggalian;%;Badan Perencanaan Pembangunan Daerah; 0,43 ;0;0;0
36201510503;Industri Pengolahan;%;Badan Perencanaan Pembangunan Daerah; 30,25 ;0;0;0
36201510504;Pengadaan Listrik dan Gas;%;Badan Perencanaan Pembangunan Daerah; 1,57 ;0;0;0
36201510505;Pengadaan Air;%;Badan Perencanaan Pembangunan Daerah; 0,08 ;0;0;0
36201510506;Konstruksi;%;Badan Perencanaan Pembangunan Daerah; 11,75 ;0;0;0
36201510507;Perdagangan Besar dan Eceran, dan Reparasi Mobil dan Sepeda Motor;%;Badan Perencanaan Pembangunan Daerah; 12,41 ;0;0;0
36201510508;Transportasi dan Pergudangan;%;Badan Perencanaan Pembangunan Daerah; 11,12 ;0;0;0
36201510509;Penyediaan Akomodasi dan Makan Minum;%;Badan Perencanaan Pembangunan Daerah; 2,35 ;0;0;0
36201510510;Informasi dan Komunikasi;%;Badan Perencanaan Pembangunan Daerah; 3,76 ;0;0;0
36201510511;Jasa Keuangan;%;Badan Perencanaan Pembangunan Daerah; 3,16 ;0;0;0
36201510512;Real Estate;%;Badan Perencanaan Pembangunan Daerah; 7,88 ;0;0;0
36201510513;Jasa Perusahaan;%;Badan Perencanaan Pembangunan Daerah; 1,08 ;0;0;0
36201510514;Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;%;Badan Perencanaan Pembangunan Daerah; 1,98 ;0;0;0
36201510515;Jasa Pendidikan;%;Badan Perencanaan Pembangunan Daerah; 3,28 ;0;0;0
